BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8507100;8507009;5.6668;
8503122;8503121;2.6382;2.7234
8516154;8504488;3.1553;
8530261;8501284;0.3668;
8506013;8506012;1.8689;1.9484
8508083;8508084;2.834;
8507382;8507383;2.0212;
8507384;8507389;3.8634;
8505002;8505011;2.5669;2.645
8505214;8505216;8.2031;11.1711
8506004;8506003;1.2818;1.4409
8500181;8500178;1.1796;
8507083;8507084;1.9392;
8502119;8502105;3.8075;4.2557
8505402;8505412;1.6449;1.645
8503119;8503225;2.6834;
8508051;8508052;0.6536;
8505862;8505408;3.6607;
8500221;8500220;3.339;3.4776
8509364;8509363;2.5101;
8506193;8506105;4.8159;5.1429
8506046;8506045;2.2172;2.3034
8501482;8501725;0.3528;
8504221;8504220;2.84;2.9048
8504401;8504402;3.6779;3.6971
8506181;8506206;1.525;2.5741
8506023;8506022;5.602;7.6335
8504108;8507079;2.047;
8509416;8509414;4.4494;4.6322
8502164;8502165;0.6968;
8517527;8502300;0.6753;0.801
8504025;8504024;4.4019;4.5799
8508085;8508084;2.1758;
8500202;8500201;2.6125;2.6795
8500031;8500026;2.4299;2.5961
8501456;8501460;0.4827;
8504481;8504480;1.9981;
8505001;8505018;0.8586;0.8585
8504295;8504294;2.8007;
8500102;8500135;1.6497;1.6677
8508304;8508303;2.9735;
8506308;8516270;1.3362;1.469
8507079;8507078;1.4445;
8509413;8509412;7.1303;7.181
8502114;8502115;3.0305;3.0855
8500176;8500177;2.275;
8501172;8501171;1.2492;
8530066;8530067;0.4208;
8506367;8506368;0.4503;
8506307;8516271;1.8286;1.836
8500176;8500175;1.7395;
8501164;8501163;0.5786;
8504475;8504463;0.9637;
8503200;8503201;1.9978;2.0051
8502161;8516450;1.6317;
8503411;8503410;2.9548;3.536
8503428;8503429;2.4988;2.6184
8503315;8503314;2.252;2.3961
8501045;8501118;3.0767;3.8683
8501122;8501121;2.5184;2.567
8530064;8530066;0.2979;
8505000;8517336;2.102;
8501472;8501471;1.5573;
8502028;8502012;1.4272;2.16
8502012;8502020;1.9554;2.4462
8502030;8502043;0.7867;0.7913
8506044;8506043;2.8268;2.9631
8508261;8508262;2.6165;
8506352;8506353;0.8124;
8501482;8501483;0.1931;
8501171;8587727;1.2695;
8501037;8501047;1.3374;1.3415
8506100;8506019;3.9608;4.0008
8500207;8500280;0.6473;
8509068;8509269;20.2283;
8502185;8502272;0.3362;
8502185;8502248;0.528;
8500205;8518963;1.0304;1.0305
8507288;8507299;1.0138;
8501476;8593775;0.5182;
8503425;8503424;1.2023;1.8309
8509357;8509358;1.5313;
8507378;8507560;1.6827;
8517527;8515994;0.6749;0.684
8509173;8509174;2.0265;
8502106;8502105;1.7255;1.744
8501580;8501576;1.3225;
8504126;8504127;3.6757;3.6867
8504300;8504416;2.8701;
8503134;8506009;3.3536;3.8952
8505114;8505119;17.8121;28.8634
8504381;8504382;1.6148;
8503130;8503123;4.1057;4.4426
8530783;8501157;1.0001;
8507287;8507298;2.7136;
8500136;8500119;2.7397;2.8119
8506205;8506204;2.8171;3.1121
8504488;8504487;2.9306;
8508100;8508101;4.45;4.7066
8508184;8508183;1.4456;
8508269;8508268;1.2767;
8503294;8503286;2.0602;
8503020;8503006;3.5678;4.5116
8500292;8500212;2.4594;
8503305;8503304;3.3261;3.6736
8501095;8501085;1.2435;
8501165;8501166;1.5748;
8503091;8503087;0.5354;
8506036;8506038;1.5817;1.6702
8500211;8518690;1.1128;
8501391;8504070;2.0577;
8504462;8504472;0.6653;
8503100;8503004;1.5557;1.5945
8506365;8506366;0.3875;
8501950;8501951;7.712;
8508265;8508264;2.4255;
